"stop_id","stop_code","stop_name","stop_lat","stop_lon"
"1#78",11089,"West Main Street at 6th Street SW (eastbound)",38.031123,-78.488705
"1#79",11058,"West Main Street opposite 5th St SW",38.030869,-78.487244
"1#80",11062,"West Main Street at 4th Street NW",38.030628,-78.486801
"1#81",15818,"Ridge Street at Dice Street (northbound)",38.028071,-78.486317
"1#82",12994,"Ridge Street at Dice Street (southbound)",38.028071,-78.48645
"1#83",15802,"Ridge St at Elliott Ave",38.026025,-78.488428
"1#84",12987,"Ridge Street at Cherry Avenue",38.02606,-78.488564
"1#85",12113,"Cherry Avenue at 6th Street SW",38.027017,-78.49067
"1#86",15894,"Cherry Avenue at 6th Street SW",38.027377,-78.491004
"1#87",15904,"Cherry Avenue at Independence Resource Center",38.028702,-78.493858
"1#88",11585,"Cherry Ave at Shopping Ctr",38.028682,-78.494161
"1#90",14547,"Cherry Avenue at 10th Street SW",38.028455,-78.49684
"1#91",14534,"Cherry Avenue at Hanover Street (eastbound)",38.025988,-78.500875
"1#92",14523,"Rock Creek Road at Cherry Avenue",38.024343,-78.502744
"1#93",14356,"Rock Creek Road at Briarcliff Avenue",38.022931,-78.500525
"1#94",14360,"Forest Ridge Road at Rockcreek Road",38.023186,-78.49867
"1#95",14409,"Forest Ridge Road at Briarcliff Avenue",38.024523,-78.498549
"1#96",13254,"Forest Hills Avenue at 9th Street SW",38.025329,-78.495459
"1#97",11571,"Blue Ridge Commons",38.023937,-78.494813
"1#98",11563,"Bailey Road at Prospect Avenue",38.021346,-78.496629
"1#99",11559,"Bailey Road at 5th Street SW",38.020839,-78.494915
"1#101",15792,"5th Street SW at Bailey Road (northbound)",38.020461,-78.4945
"1#102",12956,"5th Street SW at Bailey Road (southbound)",38.020432,-78.494894
"1#103",14076,"Ridge St at Brookwood Dr",38.019445,-78.493882
"1#104",14048,"Ridge Street at Raymond Road (southbound)",38.02036,-78.493174
"1#105",14082,"Ridge Street at Raymond Road (northbound)",38.021157,-78.492346
"1#106",14007,"Ridge St at Hartman's Mill Rd",38.022345,-78.49155
"1#107",14011,"Ridge and Lankford",38.0236,-78.490407
"1#108",14263,"Lankford Ave at Ridge St",38.023062,-78.489709
"1#109",14216,"Ridge St at Barksdale St",38.024323,-78.489883
"1#111",14318,"1st Street South at Lankford Avenue",38.021653,-78.486689
"1#113",12081,"Elliott Avenue at Burnet Street",38.024651,-78.487586
"1#114",12068,"Elliott Avenue at 1st Street S (eastbound)",38.023361,-78.485852
"1#115",14292,"1st Street South at Elliott Avenue",38.023518,-78.485656
"1#116",11544,"Elliott Avenue at 1st Street SE (westbound)",38.023351,-78.485581
"1#117",14069,"1st Street South at Oakwood Cemetery",38.025796,-78.484407
"1#118",11642,"Elliott Avenue at 6th Street SE (westbound)",38.022096,-78.483112
"1#119",12099,"Elliott Avenue at 6th Street SE (eastbound)",38.021993,-78.483127
"1#120",15927,"Druid Ave at Avon St",38.019741,-78.482403
"1#121",15887,"Belmont Park",38.018371,-78.481687
"1#122",16045,"Avon Street at Elliott Avenue (northbound)",38.021164,-78.481393
"1#123",11537,"Avon Street at Elliott Avenue (southbound)",38.021648,-78.481209
"1#124",12052,"Avon Street at Montrose Avenue",38.021884,-78.48087
"1#125",12047,"Avon Street at Blenheim Avenue (northbound)",38.022939,-78.480119
"1#126",11626,"Avon Street at Blenheim Avenue (southbound)",38.022962,-78.480224
"1#127",12533,"Montrose Avenue at Rialto Street",38.021322,-78.479382
"1#128",12859,"Montrose Avenue at Rialto Street",38.021398,-78.479239
"1#129",15873,"Altavista Ave at Rialto St",38.019788,-78.480267
"1#130",15860,"1001 Altavista Ave",38.018339,-78.477119
"1#131",15962,"Altavista Ave at Monticello Ave",38.017773,-78.475912
"1#132",15856,"Monticello Road at Druid Avenue",38.01565,-78.473377
"1#133",15700,"Monticello Rd at Altavista Ave",38.016699,-78.473469
"1#134",12816,"Monticello Avenue at Elliott Avenue (northbound)",38.018513,-78.474905
"1#135",12676,"Monticello Avenue at Elliott Avenue (southbound)",38.018586,-78.475043
"1#136",15697,"Monticello Rd at Montrose Ave",38.018638,-78.472977
"1#137",15716,"Nassau St at Hampton St",38.018671,-78.467447
"1#138",15728,"Calton Ave at Nassau St Sunrise Trailer Court",38.020916,-78.466297
"1#139",15737,"Carlton Ave at Carlton Rd",38.022716,-78.470164
"1#140",15943,"Carlton Rd at Hampton St",38.020693,-78.471299
"1#141",15684,"Carlton Rd at Monticello Rd",38.020462,-78.472961
"1#142",12505,"Monticello Avenue at Castalia Street",38.021667,-78.474427
"1#143",12431,"Monticello Avenue at Tufton Avenue",38.021828,-78.474333
"1#145",12477,"Monticello Avenue at Meridian Street (northbound)",38.023041,-78.476123
"1#146",12522,"Monticello Avenue at Meridian Street (southbound)",38.022882,-78.476112
"1#147",12386,"Rialto Street at Monticello Avenue",38.023516,-78.477551
"1#148",12607,"Rialto Street at Blenheim Avenue (southbound)",38.021981,-78.478691
"1#149",12408,"Rialto Street at Blenheim Avenue (northbound)",38.022146,-78.478686
"1#151",11528,"Avon Street at Bolling Avenue (southbound)",38.023699,-78.479697
"1#152",14228,"Monticello Avenue at 6th Street SE",38.025237,-78.480919
"1#153",14237,"Monticello Avenue at 2nd Street SE",38.026604,-78.482111
"1#157",12075,"Avon Street at Fox's Cafe",38.026156,-78.477848
"1#158",11500,"Avon St at Garrett St",38.026404,-78.477922
"1#159",11516,"Avon Street at Belmont Avenue (southbound)",38.025226,-78.478613
"1#160",12010,"Avon Street at Belmont Avenue (northbound)",38.025037,-78.478549
"1#161",15763,"Hinton Avenue at Rialto Street",38.025168,-78.476607
"1#162",12393,"Rialto Street at Bolling Avenue",38.022769,-78.478111
"1#163",15759,"Hinton Ave at Meridian St",38.02435,-78.47495
"1#164",15744,"Bainbridge St at Carlton Ave",38.023452,-78.471864
"1#166",13951,"South Pantops Drive at State Farm",38.024535,-78.448228
"1#167",13876,"State Farm Boulevard at Martha Jefferson Drive",38.025409,-78.444985
"1#168",13797,"State Farm Boulevard at Hickman Road",38.027554,-78.442671
"1#169",13784,"Abbey Road at Division of Motor Vehicles",38.028559,-78.442794
"1#172",13946,"South Pantops Drive at Beverley Way",38.028021,-78.44975
"1#173",14151,"South Pantops Drive at Riverbend Drive",38.031344,-78.454524
"1#174",14122,"155 Riverbend Dr",38.032722,-78.454987
"1#175",14095,"Pantops Shopping Center at Food Lion",38.031347,-78.457236
"1#180",13709,"East High Street at Riverdale Drive",38.034092,-78.460227
"1#181",14285,"East High Street at Hazel Street",38.032898,-78.462635
"1#182",13692,"East High Street at Stewart Street (eastbound)",38.032074,-78.464378
"1#183",14167,"East High Street at Stewart Street (westbound)",38.031951,-78.465336
"1#184",12465,"Fairway Avenue at Meade Avenue",38.030177,-78.464796
"1#185",12648,"Fairway Avenue at Arbor Circle",38.029074,-78.463504
"1#186",12624,"Fairway Avenue at Short 18th Street",38.02673,-78.462421
"1#187",12420,"Chesapeake Street at 18th Street NE",38.025243,-78.46122
"1#188",12412,"Chesapeake Street at Riverview Avenue",38.024228,-78.458717
"1#189",12454,"Chesapeake Street at Riverside Avenue",38.023201,-78.456255
"1#190",12449,"East Market Street at Riverside Avenue",38.022051,-78.456907
"1#191",12496,"East Market Street at Riverview Avenue",38.023378,-78.460131
"1#192",12372,"East Market Street at Franklin Street",38.023886,-78.461421
"1#193",12580,"East Market Street at 18th Street NE",38.02433,-78.462451
"1#194",12598,"East Market Street at Leake Lane",38.024897,-78.463877
"1#195",16107,"East Market Street at Burgess Lane",38.025391,-78.4651
"1#196",12364,"East Market Street at Meade Avenue",38.026012,-78.466663
"1#197",12567,"East Market Street at Carlton Road",38.026933,-78.4689
"1#198",12579,"East Market Street at 12th Street NE",38.027457,-78.470221
"1#199",12551,"East Market Street at 11th Street NE",38.028295,-78.472242
"1#200",12546,"East Market Street at 10th Street NE",38.028714,-78.473234
"1#201",11321,"10th Street NE at Water Street",38.028639,-78.473722
"1#202",11332,"East Water St at 9th St Ne",38.028647,-78.475473
"1#203",11004,"5th St Se & East Water St",38.029185,-78.478953
"1#204",11015,"East Water St at 3rd St Se",38.029557,-78.480143
"1#205",11027,"2nd St Se & East Water St",38.029963,-78.481369
"1#206",11036,"West Water St at Omni",38.030839,-78.483962
"1#207",11043,"Ridge McIntire Rd at Omni",38.031635,-78.484868
