shape_id,shape_pt_lon,shape_pt_lat,shape_pt_sequence
67,-78.491919,38.038610,14
67,-78.492570,38.038820,15
67,-78.493380,38.039110,16
67,-78.494280,38.039420,17
67,-78.495250,38.039770,18
67,-78.496200,38.040150,19
67,-78.497200,38.040480,20
67,-78.497760,38.040690,21
67,-78.498250,38.040870,22
67,-78.498710,38.041040,23
67,-78.499350,38.041300,24
67,-78.499480,38.041350,25
67,-78.500390,38.041730,26
67,-78.501000,38.040830,27
67,-78.501230,38.040460,28
67,-78.501700,38.039710,29
67,-78.501790,38.039580,30
67,-78.501870,38.039450,31
67,-78.502140,38.038930,32
67,-78.502700,38.037910,33
67,-78.503350,38.036860,34
67,-78.503410,38.036750,35
67,-78.504530,38.037140,36
67,-78.504840,38.037310,37
67,-78.505740,38.038930,38
67,-78.505889,38.039260,39
67,-78.506130,38.039520,40
67,-78.506620,38.039820,41
67,-78.507770,38.036580,42
67,-78.508700,38.034230,43
67,-78.509630,38.033730,44
67,-78.510150,38.033770,45
67,-78.510510,38.033860,46
67,-78.510900,38.033980,47
67,-78.511080,38.034030,48
67,-78.512460,38.034530,49
67,-78.512829,38.034680,50
67,-78.513460,38.035090,51
67,-78.513660,38.035210,52
67,-78.513700,38.035220,53
67,-78.513810,38.035230,54
67,-78.514050,38.035220,55
67,-78.514120,38.033950,56
67,-78.514160,38.033580,57
67,-78.514250,38.033220,58
67,-78.514580,38.032540,59
67,-78.514030,38.032340,60
67,-78.513620,38.032240,61
67,-78.513480,38.032220,62
67,-78.512770,38.032200,63
67,-78.512230,38.032140,64
67,-78.512110,38.032110,65
67,-78.511021,38.031488,66
67,-78.512185,38.030678,67
67,-78.513539,38.029786,68
67,-78.514000,38.029595,69
67,-78.514713,38.029493,70
67,-78.515866,38.030195,71
67,-78.516319,38.029400,72
67,-78.516430,38.029120,73
67,-78.516470,38.028680,74
67,-78.518850,38.028480,75
67,-78.519660,38.028450,76
67,-78.520260,38.028480,77
67,-78.520230,38.027630,78
67,-78.520520,38.027240,79
67,-78.521060,38.027020,80
67,-78.520680,38.026110,81
67,-78.518700,38.025930,82
67,-78.514920,38.025890,83
67,-78.514820,38.025900,84
67,-78.514619,38.025930,85
67,-78.514260,38.026070,86
67,-78.513310,38.026350,87
67,-78.512820,38.026660,88
67,-78.512350,38.026950,89
67,-78.511250,38.027630,90
67,-78.510570,38.028050,91
67,-78.509950,38.028440,92
67,-78.509580,38.028810,93
67,-78.509250,38.029280,94
67,-78.508220,38.030810,95
67,-78.507949,38.031280,96
67,-78.507690,38.031690,97
67,-78.507580,38.032020,98
67,-78.507490,38.032070,99
67,-78.507400,38.032090,100
67,-78.506790,38.032120,101
67,-78.506390,38.032100,102
67,-78.505910,38.032070,103
67,-78.504600,38.032030,104
67,-78.503640,38.032030,105
67,-78.502710,38.032070,106
67,-78.501780,38.032100,107
67,-78.499760,38.032680,108
67,-78.498840,38.032910,109
67,-78.497730,38.033250,110
67,-78.498320,38.033420,111
67,-78.498890,38.033660,112
67,-78.499540,38.033990,113
67,-78.499200,38.034750,114
67,-78.498670,38.035710,115
67,-78.498480,38.036090,116
67,-78.497890,38.037240,117
67,-78.497870,38.037280,118
67,-78.497610,38.037770,119
67,-78.496770,38.039210,120
67,-78.496200,38.040150,121
67,-78.495900,38.040710,122
67,-78.495820,38.040820,123
67,-78.495710,38.040940,124
67,-78.495560,38.041050,125
67,-78.494249,38.041820,126
67,-78.494050,38.041870,127
67,-78.493810,38.041880,128
67,-78.493094,38.041838,129
68,-78.493810,38.041880,1
68,-78.492140,38.041800,2
68,-78.492120,38.041760,3
68,-78.492099,38.041620,4
68,-78.492110,38.041470,5
68,-78.492130,38.040780,6
68,-78.492099,38.040460,7
68,-78.492080,38.040360,8
68,-78.491820,38.039910,9
68,-78.491260,38.039240,10
68,-78.491280,38.039120,11
68,-78.491300,38.039040,12
68,-78.491640,38.038560,13
68,-78.491919,38.038610,14
68,-78.492570,38.038820,15
68,-78.493380,38.039110,16
68,-78.494280,38.039420,17
68,-78.495250,38.039770,18
68,-78.496200,38.040150,19
68,-78.496770,38.039210,20
68,-78.497610,38.037770,21
68,-78.497870,38.037280,22
68,-78.497890,38.037240,23
68,-78.498480,38.036090,24
68,-78.498670,38.035710,25
68,-78.499200,38.034750,26
68,-78.499540,38.033990,27
68,-78.498890,38.033660,28
68,-78.498320,38.033420,29
68,-78.497730,38.033250,30
68,-78.498840,38.032910,31
68,-78.499760,38.032680,32
68,-78.501780,38.032100,33
68,-78.502710,38.032070,34
68,-78.503640,38.032030,35
68,-78.504600,38.032030,36
68,-78.505910,38.032070,37
68,-78.506390,38.032100,38
68,-78.506790,38.032120,39
68,-78.507400,38.032090,40
68,-78.507490,38.032070,41
68,-78.507580,38.032020,42
68,-78.507820,38.031770,43
68,-78.507920,38.031610,44
68,-78.508070,38.031360,45
68,-78.508380,38.030850,46
68,-78.509340,38.029350,47
68,-78.509680,38.028870,48
68,-78.510060,38.028520,49
68,-78.510670,38.028140,50
68,-78.511350,38.027730,51
68,-78.512440,38.027060,52
68,-78.512900,38.026760,53
68,-78.513400,38.026450,54
68,-78.513949,38.026280,55
68,-78.514950,38.025960,56
68,-78.514980,38.025890,57
68,-78.516420,38.025910,58
68,-78.517990,38.025920,59
68,-78.518700,38.025930,60
68,-78.519520,38.025990,61
68,-78.519990,38.026050,62
68,-78.520690,38.026120,63
68,-78.521060,38.027020,64
68,-78.520520,38.027240,65
68,-78.520230,38.027630,66
68,-78.520230,38.028080,67
68,-78.520230,38.028490,68
68,-78.520020,38.028480,69
68,-78.519660,38.028450,70
68,-78.518850,38.028480,71
68,-78.516770,38.028660,72
68,-78.516470,38.028680,73
68,-78.516430,38.029120,74
68,-78.516319,38.029400,75
68,-78.515868,38.030203,76
68,-78.514707,38.029508,77
69,-78.499665,38.032707,1
69,-78.501780,38.032100,2
69,-78.502710,38.032070,3
